original_author_name,year,type,MAGID,ARCID
"Joakim Nivre",2021,2,NULL,NULL
"Qun Liu",2021,2,NULL,NULL
"Luke Zettlemoyer",2021,2,NULL,NULL
"Anette Frank",2021,2,NULL,NULL
"Joyce Chai",2021,2,NULL,NULL
"Eneko Agirre",2021,2,NULL,NULL
"Chengqing Zong",2021,2,NULL,NULL
"Amanda Stent",2021,2,NULL,NULL
"Philip Cohen",2020,2,NULL,NULL
"Pascale Fung",2020,2,NULL,NULL
"Iryna Gurevych",2020,2,NULL,NULL
"Dan Jurafsky",2020,2,NULL,NULL
"Hermann Ney",2020,2,2293758362,NULL
"Philip Resnik",2020,2,NULL,NULL
"Donia Scott",2020,2,NULL,NULL
"Noah Smith",2020,2,NULL,NULL
"Kam-Fai Wong",2020,2,NULL,NULL
"Barbara Grosz",2019,2,NULL,NULL
"Graeme Hirst",2019,2,NULL,NULL
"Mirella Lapata",2019,2,NULL,NULL
"Hang Li",2019,2,NULL,NULL
"Paola Merlo",2019,2,NULL,NULL
"Michael Strube",2019,2,NULL,NULL
"Robert Dale",2018,2,NULL,NULL
"Jason Eisner",2018,2,NULL,NULL
"Mari Ostendorf",2018,2,2046206377,NULL
"Dragomir Radev",2018,2,NULL,NULL
"Ellen Riloff",2018,2,NULL,NULL
"Regina Barzilay",2017,2,NULL,NULL
"Ralph Grishman",2017,2,NULL,NULL
"Lillian Lee",2017,2,NULL,NULL
"Diane Litman",2017,2,NULL,NULL
"Fernando Pereira",2017,2,2117274611,NULL
"Stuart Shieber",2017,2,NULL,NULL
"Bonnie J. Dorr",2016,2,NULL,NULL
"Marilyn Walker",2016,2,NULL,NULL
"Haifeng Wang",2016,2,NULL,NULL
"Ralph Weischedel",2016,2,NULL,NULL
"Claire Cardie",2015,2,NULL,NULL
"Kenneth Church",2015,2,NULL,NULL
"Salim Roukos",2015,2,NULL,NULL
"Janyce Wiebe",2015,2,NULL,NULL
"Walter Daelemans",2014,2,NULL,NULL
"Kevin Knight",2014,2,NULL,NULL
"Daniel Marcu",2014,2,NULL,NULL
"Raymond Mooney",2014,2,NULL,NULL
"Martha Palmer",2014,2,NULL,NULL
"Junichi Tsujii",2014,2,NULL,NULL
"Dekang Lin",2013,2,NULL,NULL
"Candace Sidner",2013,2,NULL,NULL
"Ido Dagan",2013,2,NULL,NULL
"David Yarowsky",2013,2,NULL,NULL
"Hwee Tou Ng",2012,2,NULL,NULL
"Dan Roth",2012,2,NULL,NULL
"Richard Sproat",2012,2,NULL,NULL
"Bonnie Webber",2012,2,NULL,NULL
"Nicoletta Calzolari",2011,2,NULL,NULL
"Eugene Charniak",2011,2,NULL,NULL
"Michael Collins",2011,2,NULL,NULL
"Eva Hajičová",2011,2,NULL,NULL
"Julia Hirschberg",2011,2,1983359683,NULL
"Eduard Hovy",2011,2,NULL,NULL
"Mark Johnson",2011,2,NULL,NULL
"Aravind Joshi",2011,2,NULL,NULL
"Ronald M. Kaplan",2011,2,NULL,NULL
"Lauri Karttunen",2011,2,NULL,NULL
"Christopher D. Manning",2011,2,NULL,NULL
"Mitch Marcus",2011,2,NULL,NULL
"Yuji Matsumoto",2011,2,NULL,NULL
"Kathleen R. McKeown",2011,2,NULL,NULL
"Robert L. Mercer",2011,2,NULL,NULL
"Robert C. Moore",2011,2,NULL,NULL
"Dekai Wu",2011,2,NULL,NULL
"James M. Adams",1994,1,NULL,NULL
"Frances E. Allen",1994,1,NULL,NULL
"Franz Leopold Alt",1994,1,NULL,NULL
"William F. Atchison",1994,1,NULL,NULL
"Richard H. Austing",1994,1,NULL,NULL
"Kenneth E. Batcher",1994,1,NULL,NULL
"C. Gordon Bell",1994,1,NULL,NULL
"Michael W. Blasgen",1994,1,NULL,NULL
"Danny Bobrow",1994,1,NULL,NULL
"David Reeves Boggs",1994,1,NULL,NULL
"Lorraine Borman",1994,1,NULL,NULL
"Charles L. Bradshaw",1994,1,NULL,NULL
"Daniel S. Bricklin",1994,1,NULL,NULL
"Frederick P. Brooks Jr.",1994,1,NULL,NULL
"Douglas K. Brotz",1994,1,NULL,NULL
"Richard R. Burton",1994,1,NULL,NULL
"Richard G. Canning",1994,1,NULL,NULL
"Walter M. Carlson",1994,1,NULL,NULL
"Vinton G. Cerf",1994,1,2029905547,NULL
"Donald D. Chamberlin",1994,1,NULL,NULL
"Edgar F. Codd",1994,1,NULL,NULL
"Edward G. Coffman",1994,1,NULL,NULL
"Fernando J. Corbató",1994,1,NULL,NULL
"Harvey G. Cragon",1994,1,NULL,NULL
"Thomas A. D'Auria",1994,1,NULL,NULL
"Thomas A. DeFanti",1994,1,2034849075,NULL
"Peter J. Denning",1994,1,2069086639,NULL
"Jack B. Dennis",1994,1,NULL,NULL
